"";"Bill_shock";"Online_account";"Opt_In_Mail";"Opt_In_Post";"Opt_In_Tel";"MA_Grundversorger";"MA_Erweitert";"MA_Restlich";"Recovered";"Continuous_relationship";"Age";"Consumption";"Annual_account";"DBII";"Minimum_contract_term";"Customer_since_interval";"Contract_start_date_interval";"Longitude";"Latitude";"Inhabitants";"Cluster"
"5357";1;0;0;1;0;1;0;0;0;0;73;3235;330,25;12,8866109669242;12;87;13;47,705;8,39067;1660;"8"
"5358";0;0;0;1;0;1;0;0;0;0;61;3152;91,84;14,0218828180458;24;83;13;47,705;8,39067;1660;"8"
"5359";0;0;0;1;0;1;0;0;0;0;73;3239;9,09;13,1994102212669;12;93;13;47,8709;7,73712;7355;"8"
"5360";0;0;0;1;0;0;1;0;0;0;79;2545;41,63;11,3904146995287;12;88;13;47,8792;7,66162;5848;"6"
"5361";0;0;0;1;0;1;0;0;0;0;82;1301;35,44;8,58449424828858;24;93;13;47,8709;7,73712;7355;"8"
"5362";0;0;0;1;0;0;1;0;0;0;79;2227;-23,15;11,1523958333333;24;88;13;47,8792;7,66162;5848;"6"
"5363";0;0;0;1;0;0;1;0;0;0;61;3739;-156,65;11,9171873461428;24;88;25;47,8332;7,57299;11629;"6"
"5364";1;0;0;1;0;0;1;0;0;0;59;1455;108,14;10,9515676290464;24;94;13;47,9389;7,76123;2507;"6"
"5365";0;0;0;1;0;0;1;0;0;0;53;2802;-14,29;12,9944040898261;24;87;13;47,8792;7,66162;5848;"6"
"5366";0;0;0;1;0;1;0;0;0;0;49;3132;-85,81;12,9208271016842;12;92;13;47,814;8,32346;6774;"8"
"5367";0;0;0;1;0;1;0;0;0;0;44;2335;22,93;12,0751572954032;12;93;33;47,9106;7,76606;7174;"8"
"5368";0;0;0;1;0;0;1;0;0;0;73;1470;22,17;9,08213457253297;24;88;13;47,8792;7,66162;5848;"6"
"5369";1;0;0;1;0;1;0;0;0;0;47;2029;-2164,26;10,0988549193548;12;92;20;47,814;8,32346;6774;"0"
"5370";0;0;0;1;0;1;0;0;0;0;76;2673;-53,53;12,6158210932722;24;81;13;47,9389;7,82962;1411;"8"
"5371";0;0;0;1;0;1;0;0;0;0;47;3114;-19,15;13,9104715953654;24;81;13;47,9389;7,82962;1411;"8"
"5372";0;0;0;1;0;0;1;0;0;0;66;2392;-45,82;11,7904235366193;24;87;13;47,8792;7,66162;5848;"6"
"5373";0;0;0;1;0;0;1;0;0;0;48;2120;-25,42;13,8661329004329;24;93;13;47,9389;7,76123;2507;"6"
"5374";1;0;0;1;0;1;0;0;0;0;66;5104;165;14,2994654625551;12;93;13;47,9106;7,76606;7174;"8"
"5375";0;0;0;1;0;0;1;0;0;0;79;2088;-23,14;13,7770507430998;24;81;0;47,9389;7,76123;2507;"6"
"5376";0;1;0;1;0;1;0;0;0;0;51;3083;14,52;12,7931412559242;12;88;13;47,6124;8,17078;2343;"2"
"5377";0;0;0;1;0;1;0;0;0;0;74;2902;61,27;13,2875783675097;24;88;13;47,7723;8,09896;5386;"8"
"5378";1;0;0;1;0;0;1;0;0;0;77;2494;86,04;12,0910639909534;24;87;13;47,6527;8,24516;22160;"6"
"5379";0;0;0;1;0;0;1;0;0;0;89;1333;28,52;10,5684550770478;24;88;13;47,9232;7,68356;17817;"6"
"5380";0;0;0;1;0;1;0;0;0;0;57;2881;-79,58;13,2944984142075;24;81;0;47,9106;7,76606;7174;"8"
"5381";0;0;0;1;0;1;0;0;0;0;79;2781;-56,6;12,9983321729958;24;80;0;47,8709;7,73712;7355;"8"
"5382";0;0;0;1;1;0;1;0;0;0;76;1678;-6,49;11,8483933461117;24;82;0;47,9389;7,76123;2507;"3"
"5383";1;0;0;1;0;1;0;0;0;0;49;2659;256,31;10,0316824700217;12;75;0;47,9106;7,76606;7174;"8"
"5384";0;0;0;1;0;1;0;0;0;0;73;3611;24,9;12,7140290325539;24;93;13;47,8709;7,73712;7355;"8"
"5385";0;0;0;1;0;1;0;0;0;0;90;3070;-67,91;13,3883126780828;24;81;0;47,814;8,32346;6774;"8"
"5386";0;0;0;1;0;1;0;0;0;0;62;2723;-67,26;13,6401177898551;12;93;13;47,814;8,32346;6774;"8"
"5387";0;0;0;1;0;1;0;0;0;0;62;3221;31,37;13,1514420311726;12;93;37;47,814;8,32346;6774;"8"
"5388";0;0;0;1;0;0;1;0;0;0;54;1511;32,56;11,2443723138414;24;93;13;47,9232;7,68356;17817;"6"
"5389";1;0;0;1;0;1;0;0;0;0;57;1450;72,38;9,02352238941262;24;88;13;47,8123;7,65944;18072;"8"
"5390";0;0;0;1;0;1;0;0;0;0;86;2328;51,25;12,7891640057225;24;94;13;47,8296;8,42503;1221;"8"
"5391";0;0;0;1;0;0;1;0;0;0;61;2607;-62,35;11,6870981787187;24;82;0;47,9389;7,76123;2507;"6"
"5392";0;0;0;1;0;1;0;0;0;0;69;1818;102,26;9,49860045533998;12;83;13;47,962;7,74013;5969;"8"
"5393";0;0;0;1;0;0;1;0;0;0;34;1445;41,53;10,9621791666667;24;83;13;47,9232;7,68356;17817;"6"
"5394";0;0;0;1;0;0;1;0;0;0;44;2535;2,9;12,2114166469194;24;88;13;47,8792;7,66162;5848;"6"
