"";"Bill_shock";"Online_account";"Opt_In_Mail";"Opt_In_Post";"Opt_In_Tel";"MA_Grundversorger";"MA_Erweitert";"MA_Restlich";"Recovered";"Continuous_relationship";"Age";"Consumption";"Annual_account";"DBII";"Minimum_contract_term";"Customer_since_interval";"Contract_start_date_interval";"Longitude";"Latitude";"Inhabitants";"Cluster"
"791";0;0;0;1;0;1;0;0;0;0;60;4304;-200,83;4,77690757148631;24;92;22;47,8123;7,65944;18072;"6"
"792";0;0;0;1;0;0;1;0;0;0;73;3161;-57,33;6,20006693673054;24;88;23;47,6527;8,24516;22160;"7"
"793";0;0;0;1;0;0;1;0;0;0;86;3084;-238,54;6,16495440996708;24;88;23;47,6527;8,24516;22160;"7"
"794";0;0;0;1;0;0;1;0;0;0;36;10;0,37;4,78151313559322;12;89;37;47,9232;7,68356;17817;"7"
"795";0;0;0;1;0;1;0;0;0;0;89;1468;149,33;5,43110575757576;24;92;23;47,8123;7,65944;18072;"6"
"796";0;0;0;1;0;0;1;0;0;0;43;610;7,5;7,16431030915853;12;92;13;47,9232;7,68356;17817;"7"
"797";0;0;0;1;0;1;0;0;0;0;72;3466;28,9;6,33716102779387;24;82;23;47,9389;7,82962;1411;"6"
"798";0;0;0;1;0;1;0;0;0;0;86;7350;-373,48;8,0299540448846;12;81;13;47,6802;8,19808;3120;"6"
"799";0;0;0;1;0;0;1;0;0;0;78;688;1,8;7,47333694972539;12;92;37;47,9232;7,68356;17817;"7"
"800";0;0;0;1;0;0;1;0;0;0;78;1124;24,15;6,89994498930645;24;92;25;47,9232;7,68356;17817;"7"
"801";0;0;0;1;0;1;0;0;0;0;40;1307;-17,7;8,16647541167489;12;83;13;47,962;7,74013;5969;"6"
"802";0;0;0;1;0;1;0;0;0;0;70;1260;-474,45;8,04568625248987;12;92;37;52,2975;8,94662;22056;"0"
"803";0;0;0;1;0;1;0;0;0;0;70;4458;3,72;6,78842012920456;24;92;23;47,7723;8,09896;5386;"6"
"804";0;0;0;1;0;1;0;0;0;0;74;2909;54,06;6,9005459669664;24;93;16;47,9106;7,76606;7174;"6"
"805";0;0;0;1;0;1;0;0;0;0;54;3001;81,14;6,12772745043992;24;81;23;47,6802;8,19808;3120;"6"
